Initialising trial 0, Alpha policy = 0.0006177587023066247, Alpha baseline = 2.3625829680051183e-06

Trial 4, Step: 250	Avg: -9353.726632558619	Alpha_policy: 0.009601936535562197	Alpha_baseline: 4.058713304237771e-06
Trial 4, Step: 260	Avg: -9407.896772930435	Alpha_policy: 0.009592338918746049	Alpha_baseline: 4.05465641686756e-06
Trial 4, Step: 270	Avg: -9411.431421969315	Alpha_policy: 0.009582750895228939	Alpha_baseline: 4.050603584559606e-06
Trial 4, Step: 280	Avg: -9396.465659115625	Alpha_policy: 0.009573172455421884	Alpha_baseline: 4.046554803260672e-06
Trial 4, Step: 290	Avg: -9454.174360451916	Alpha_policy: 0.009563603589745489	Alpha_baseline: 4.042510068921571e-06
Trial 4, Step: 300	Avg: -9465.107962032494	Alpha_policy: 0.009554044288629928	Alpha_baseline: 4.0384693774971666e-06
Trial 4, Step: 310	Avg: -9407.060375236026	Alpha_policy: 0.009544494542514943	Alpha_baseline: 4.034432724946359e-06
Trial 4, Step: 320	Avg: -9449.117794517546	Alpha_policy: 0.009534954341849837	Alpha_baseline: 4.030400107232093e-06
Trial 4, Step: 330	Avg: -9388.004872439473	Alpha_policy: 0.009525423677093445	Alpha_baseline: 4.026371520321346e-06
Trial 4, Step: 340	Avg: -9356.19477664153	Alpha_policy: 0.009515902538714155	Alpha_baseline: 4.022346960185127e-06
Trial 4, Step: 350	Avg: -9417.75409619756	Alpha_policy: 0.009506390917189876	Alpha_baseline: 4.018326422798478e-06
Trial 4, Step: 360	Avg: -9401.968150353772	Alpha_policy: 0.009496888803008034	Alpha_baseline: 4.014309904140457e-06
Trial 4, Step: 370	Avg: -9362.072405658804	Alpha_policy: 0.009487396186665558	Alpha_baseline: 4.010297400194142e-06
Trial 4, Step: 380	Avg: -9421.198618524337	Alpha_policy: 0.009477913058668887	Alpha_baseline: 4.006288906946628e-06
Trial 4, Step: 390	Avg: -9427.776746600583	Alpha_policy: 0.009468439409533942	Alpha_baseline: 4.00228442038902e-06
Trial 4, Step: 400	Avg: -9482.491546722344	Alpha_policy: 0.009458975229786129	Alpha_baseline: 3.998283936516431e-06
Trial 4, Step: 410	Avg: -9531.974631190156	Alpha_policy: 0.00944952050996032	Alpha_baseline: 3.994287451327977e-06
Trial 4, Step: 420	Avg: -9533.629343406184	Alpha_policy: 0.009440075240600846	Alpha_baseline: 3.990294960826772e-06
Trial 4, Step: 430	Avg: -9434.800323126467	Alpha_policy: 0.009430639412261492	Alpha_baseline: 3.986306461019926e-06
Trial 4, Step: 440	Avg: -9468.67766452054	Alpha_policy: 0.00942121301550549	Alpha_baseline: 3.982321947918543e-06
Trial 4, Step: 450	Avg: -9423.140153036233	Alpha_policy: 0.009411796040905494	Alpha_baseline: 3.978341417537708e-06
Trial 4, Step: 460	Avg: -9360.317909623847	Alpha_policy: 0.009402388479043589	Alpha_baseline: 3.9743648658964916e-06
Trial 4, Step: 470	Avg: -9380.542381813446	Alpha_policy: 0.009392990320511272	Alpha_baseline: 3.970392289017946e-06
Trial 4, Step: 480	Avg: -9381.09002129388	Alpha_policy: 0.009383601555909445	Alpha_baseline: 3.966423682929094e-06
Trial 4, Step: 490	Avg: -9434.787805729202	Alpha_policy: 0.009374222175848405	Alpha_baseline: 3.962459043660936e-06
Trial 4, Step: 500	Avg: -9488.832222925097	Alpha_policy: 0.009364852170947827	Alpha_baseline: 3.958498367248432e-06
Initialising trial 4, Alpha policy = 0.002241788507074188, Alpha baseline = 0.001731252684678432

[I 2019-11-15 21:24:21,353] Finished trial#3 resulted in value: -9488.832222925097. Current best value is -9200.415699071964 with parameters: {'alpha_policy': 9.824187582786641e-06, 'alpha_baseline': 1.0739600029367916e-05}.
Trial 5, Step: 10	Avg: -9981.063578735668	Alpha_policy: 0.0022395477271029743	Alpha_baseline: 0.0017295222108497479
Trial 5, Step: 20	Avg: -9932.197847078018	Alpha_policy: 0.00223730918690365	Alpha_baseline: 0.0017277934667163871
